,sqm_price,building_floors_num,rooms_num,lat,long,build_year,price,sqm,floor_no,word_parking,word_balcony,word_basement,building_type,word_elevator
0,13343.108504398826,6,3,52.25909624935003,20.97905742147956,2014,910000.0,68.2,5,1,1,1,block,0
1,8499.025341130604,10,2,52.22348826794431,20.900081913872587,1982,436000.0,51.3,0,0,0,0,block,0
2,9412.216673069535,4,2,52.308789174964986,20.982480775273853,2009,490000.0,52.06,4,1,1,0,block,0
3,15679.245283018869,6,2,52.26191863377443,20.968339124955868,2013,831000.0,53.0,2,1,0,0,block,0
4,11708.333333333334,7,3,52.197766175538845,21.044987462924123,2007,843000.0,72.0,5,1,1,1,apartment,1
5,12586.206896551725,10,3,52.19312856539649,21.01359841808051,1975,730000.0,58.0,2,0,0,1,block,1
6,7958.801498127341,10,3,52.28759388585113,21.02504837758181,1986,425000.0,53.4,8,0,0,1,block,0
7,11722.772277227725,4,2,52.24887547056975,21.105167599722364,2018,592000.0,50.5,4,1,1,1,apartment,1
8,12380.952380952382,3,2,52.33268562910538,20.968945732325327,2021,520000.0,42.0,3,1,0,0,,0
9,11062.78091924025,3,2,52.21525330056527,20.97101343220058,1928,763000.0,68.97,2,0,0,1,tenement,0
10,9075.0,3,2,52.26176255013726,21.17755824102409,1951,544500.0,60.0,3,0,0,0,,1
11,13369.565217391304,10,3,52.22695233446368,21.03920507126677,1967,615000.0,46.0,7,0,0,1,block,0
12,10628.09917355372,5,2,52.24442011585267,21.08440034711433,1997,643000.0,60.5,1,0,0,0,house,1
13,10406.5816678153,7,1,52.20538249721029,20.8795957853159,2019,301999.0,29.02,0,1,1,0,block,0
14,9558.533701221915,4,2,52.24908224973729,21.077538115552244,1953,485000.0,50.74,1,0,1,1,tenement,0
15,13072.0,5,3,52.13842911668405,21.029566072217367,2005,817000.0,62.5,3,1,1,0,block,0
16,11195.652173913044,9,3,52.24800358715158,20.99037210357771,1973,515000.0,46.0,9,0,0,0,,0
17,10988.08491212052,7,2,52.17622252314483,20.993310966181955,2022,481388.0,43.81,5,0,0,0,,0
18,16757.88795878944,11,3,52.201992407879146,20.99788601916704,2009,1041000.0,62.12,6,1,1,1,apartment,0
19,13967.2131147541,6,1,52.20144191625622,21.01008532354924,1955,426000.0,30.5,5,1,1,1,block,0
20,9932.854166666666,6,2,52.299763743547615,21.042516123235856,2002,476777.0,48.0,5,0,1,1,block,0
21,8606.8349768326,2,4,52.17209771681085,21.11194754567809,2021,724437.3,84.17,2,0,1,0,apartment,0
22,9715.57632398754,7,3,52.17607633429562,20.993293014822896,2018,530179.0,54.57,2,0,0,0,,0
23,12912.37113402062,15,2,52.23885743771632,20.99919116729739,1968,501000.0,38.8,7,0,1,1,,1
24,4228.571428571428,2,4,52.28237929652275,21.066198011836985,2017,444000.0,105.0,1,0,1,0,,0
25,9508.77192982456,2,1,52.21058173735433,20.917322412350977,1933,271000.0,28.5,2,0,0,1,tenement,0
26,11433.389544688029,3,2,52.250295582602845,20.908019792560417,2006,678000.0,59.3,2,0,1,1,block,0
27,11739.130434782608,6,1,52.20239747494341,20.973214392210632,1961,378000.0,32.2,0,0,0,1,block,0
28,14000.0,7,3,52.23002339880717,21.017488955843984,1961,896000.0,64.0,7,0,1,1,tenement,0
29,10120.069471246625,7,3,52.17714474140613,20.9938471920283,2017,524422.0,51.82,6,0,0,0,,0
30,12982.83261802575,7,2,52.26445260189014,21.04004408530997,2011,484000.0,37.28,4,0,1,0,block,0
31,11178.57142857143,3,3,52.24582441844734,21.087866217353906,1969,626000.0,56.0,3,0,1,0,block,0
32,8398.517908604364,10,2,52.23835612933029,21.10175690341172,1974,408000.0,48.58,2,0,1,1,block,0
33,6758.304696449027,3,1,52.261756814078325,21.16186791185147,2007,295000.0,43.65,0,0,0,0,block,0
34,8252.42718446602,3,3,52.27227094189365,21.083066976051807,2020,510000.0,61.8,3,1,0,1,block,1
35,14051.724137931034,7,2,52.18268508290442,21.02721510567876,2020,815000.0,58.0,0,0,1,1,apartment,0
36,9342.105263157897,4,2,52.33248578013733,20.935027780850305,1998,355000.0,38.0,2,0,0,0,block,0
37,11084.745762711864,6,3,52.319306610079785,20.960343602198243,2018,654000.0,59.0,1,0,1,1,block,0
38,10951.859956236323,7,4,52.20647025506653,21.05187036215988,2000,1001000.0,91.4,2,1,1,1,apartment,0
39,11203.703703703704,10,3,52.17328326955938,21.016297401664097,1981,605000.0,54.0,2,0,0,0,block,0
40,10849.056603773584,4,3,52.15275266836916,21.023443978081744,1978,575000.0,53.0,1,1,0,1,block,0
41,8220.357219711643,3,2,52.31734043888841,21.058805396447333,2018,382000.0,46.47,3,1,0,0,block,1
42,10404.255319148937,6,2,52.31849770206034,20.955450491053337,2003,489000.0,47.0,1,1,1,1,block,1
43,9023.622047244096,8,2,52.28517905812452,21.03858306874751,1994,573000.0,63.5,7,0,1,1,block,1
44,10258.620689655172,2,3,52.32131835865116,21.04669783114522,2014,595000.0,58.0,2,1,1,1,block,1
45,12867.64705882353,5,2,52.21667898217005,20.979922717199845,1938,875000.0,68.0,1,0,0,1,tenement,1
46,12155.555555555557,4,4,52.25676783842541,20.915793600339285,2012,1094000.0,90.0,3,1,1,1,block,1
47,13103.448275862069,6,2,52.224078253837526,20.939532215192862,2017,380000.0,29.0,5,0,1,0,apartment,0
48,7517.970401691332,5,2,52.328970358154535,21.008474489311084,2018,355600.0,47.3,1,0,1,0,,0
49,19591.55888359428,4,3,52.22380344465974,21.007163357761364,1957,1439000.0,73.45,2,0,1,1,tenement,1
